| Bk | Index |  Tag  |   Word   | MESI |
| 34 | 00138 | 00001 | 00000004 |  I   | 
| 34 | 00139 | 00001 | 00000008 |  I   | 
|----|-------|-------|----------|------| 
| 35 | 00140 | 00001 | 00000007 |  I   | 
| 35 | 00141 | 00001 | 00000001 |  I   | 
| 35 | 00142 | 00001 | 00000002 |  I   | 
| 35 | 00143 | 00001 | 00000006 |  I   | 
|----|-------|-------|----------|------| 
| 36 | 00144 | 00001 | 00000006 |  I   | 
| 36 | 00145 | 00001 | 00000004 |  I   | 
| 36 | 00146 | 00001 | 00000002 |  I   | 
| 36 | 00147 | 00001 | 00000001 |  I   | 
|----|-------|-------|----------|------| 
| 37 | 00148 | 00001 | 00000001 |  I   | 
| 37 | 00149 | 00001 | 00000002 |  I   | 
| 37 | 00150 | 00001 | 00000001 |  I   | 
| 37 | 00151 | 00001 | 00000003 |  I   | 
|----|-------|-------|----------|------| 
| 38 | 00152 | 00001 | 00000003 |  I   | 
| 38 | 00153 | 00001 | 00000000 |  I   | 
| 38 | 00154 | 00001 | 00000002 |  I   | 
| 38 | 00155 | 00001 | 00000002 |  I   | 
|----|-------|-------|----------|------| 
| 39 | 00156 | 00001 | 00000009 |  I   | 
| 39 | 00157 | 00001 | 00000006 |  I   | 
| 39 | 00158 | 00001 | 00000005 |  I   | 
| 39 | 00159 | 00001 | 00000001 |  I   | 
|----|-------|-------|----------|------| 
| 40 | 00160 | 00001 | 00000005 |  I   | 
| 40 | 00161 | 00001 | 00000001 |  I   | 
| 40 | 00162 | 00001 | 00000004 |  I   | 
| 40 | 00163 | 00001 | 00000008 |  I   | 
|----|-------|-------|----------|------| 
| 41 | 00164 | 00001 | 00000001 |  I   | 
| 41 | 00165 | 00001 | 00000000 |  I   | 
| 41 | 00166 | 00001 | 00000005 |  I   | 
| 41 | 00167 | 00001 | 00000000 |  I   | 
|----|-------|-------|----------|------| 
| 42 | 00168 | 00001 | 00000007 |  I   | 
| 42 | 00169 | 00001 | 00000005 |  I   | 
| 42 | 00170 | 00001 | 00000000 |  I   | 
| 42 | 00171 | 00001 | 00000003 |  I   | 
|----|-------|-------|----------|------| 
| 43 | 00172 | 00001 | 00000007 |  I   | 
| 43 | 00173 | 00001 | 00000008 |  I   | 
| 43 | 00174 | 00001 | 00000003 |  I   | 
| 43 | 00175 | 00001 | 00000001 |  I   | 
|----|-------|-------|----------|------| 
| 44 | 00176 | 00001 | 00000004 |  I   | 
| 44 | 00177 | 00001 | 00000003 |  I   | 
| 44 | 00178 | 00001 | 00000006 |  I   | 
| 44 | 00179 | 00001 | 00000004 |  I   | 
|----|-------|-------|----------|------| 
| 45 | 00180 | 00001 | 00000009 |  I   | 
| 45 | 00181 | 00001 | 00000002 |  I   | 
| 45 | 00182 | 00001 | 00000006 |  I   | 
| 45 | 00183 | 00001 | 00000007 |  I   | 
|----|-------|-------|----------|------| 
| 46 | 00184 | 00001 | 00000001 |  I   | 
| 46 | 00185 | 00001 | 00000007 |  I   | 
| 46 | 00186 | 00001 | 00000008 |  I   | 
| 46 | 00187 | 00001 | 00000009 |  I   | 
|----|-------|-------|----------|------| 
| 47 | 00188 | 00001 | 00000001 |  I   | 
| 47 | 00189 | 00001 | 00000001 |  I   | 
| 47 | 00190 | 00001 | 00000004 |  I   | 
| 47 | 00191 | 00001 | 00000000 |  I   | 
|----|-------|-------|----------|------| 
| 48 | 00192 | 00001 | 00000002 |  S   | 
| 48 | 00193 | 00001 | 00000003 |  S   | 
| 48 | 00194 | 00001 | 00000002 |  S   | 
| 48 | 00195 | 00001 | 00000007 |  S   | 
|----|-------|-------|----------|------| 
| 49 | 00196 | 00001 | 00000000 |  S   | 
| 49 | 00197 | 00001 | 00000006 |  S   | 
| 49 | 00198 | 00001 | 00000009 |  S   | 
| 49 | 00199 | 00001 | 00000002 |  S   | 
|----|-------|-------|----------|------| 
| 50 | 00200 | 00001 | 00000006 |  S   | 
| 50 | 00201 | 00001 | 00000003 |  S   | 
| 50 | 00202 | 00001 | 00000001 |  S   | 
| 50 | 00203 | 00001 | 00000007 |  S   | 
|----|-------|-------|----------|------| 
| 51 | 00204 | 00001 | 00000006 |  S   | 
| 51 | 00205 | 00001 | 00000004 |  S   | 
| 51 | 00206 | 00001 | 00000006 |  S   | 
| 51 | 00207 | 00001 | 00000008 |  S   | 
|----|-------|-------|----------|------| 
| 52 | 00208 | 00001 | 00000003 |  S   | 
| 52 | 00209 | 00001 | 00000000 |  S   | 
| 52 | 00210 | 00001 | 00000008 |  S   | 
| 52 | 00211 | 00001 | 00000009 |  S   | 
|----|-------|-------|----------|------| 
| 53 | 00212 | 00001 | 00000002 |  S   | 
| 53 | 00213 | 00001 | 00000009 |  S   | 
| 53 | 00214 | 00001 | 00000008 |  S   | 
| 53 | 00215 | 00001 | 00000002 |  S   | 
|----|-------|-------|----------|------| 
| 54 | 00216 | 00001 | 00000002 |  S   | 
| 54 | 00217 | 00001 | 00000000 |  S   | 
| 54 | 00218 | 00001 | 00000008 |  S   | 
| 54 | 00219 | 00001 | 00000001 |  S   | 
|----|-------|-------|----------|------| 
| 55 | 00220 | 00001 | 00000009 |  S   | 
| 55 | 00221 | 00001 | 00000008 |  S   | 
| 55 | 00222 | 00001 | 00000009 |  S   | 
